area,Year,Rooms,Location,Price,Floor
100,1397,2, Shahran North,11000000000.0,4.0
125,1401,2, Daryacheh Shahidaye Khalij Fars,7850000000.0,3.0
150,1402,3, Chitgar,999999999.0,9.0
210,1401,2, Elahiyeh,45500000000.0,5.0
75,1388,2, Niru Havaii,500000000.0,3.0
70,1392,2, Mobarakeh Baheshti,230000000.0,1.0
55,1398,1, Mobarakeh Baheshti,170500000.0,1.0
113,1395,2, Marzdaran,1480000000.0,2.0
56,1387,1, Fallah,2632000000.0,4.0
100,1402,2, Monirieh,9900000000.0,6.0
142,1388,3, Saadat Abad,1810000000.0,2.0
60,1398,2, Andisheh (Shahr-e Ziba),2000000000.0,2.0
65,1402,2, Monirieh,6500000000.0,1.0
95,1394,2, Jannat Abad Markazi,10050000000.0,3.0
125,1396,3, Pasdaran,17600000000.0,3.0
135,1398,2, Dehghan,12300000000.0,0.0
100,1377,2, Saadat Abad,12999990909.0,1.0
154,1390,3, Darous,2100000000.0,3.0
55,1387,1, Jannat Abad Markazi,5400000000.0,5.0
102,1388,2, Qolhak,12000000000.0,5.0
155,1383,3, Zafar,16000000000.0,4.0
109,1393,2, Marzdaran,16000000000.0,1.0
110,1402,2, Bagh-e Feiz,13750000000.0,3.0
185,1402,3, Kashanak,25500000000.0,6.0
64,1402,1, Marzdaran,8400000000.0,3.0
77,1389,2, Marzdaran,10450000000.0,2.0
313,1386,4, Darous,51500000000.0,5.0
125,1397,2, Monirieh,10450000000.0,5.0
250,1400,3, Deroos,50000000000.0,4.0
67,1389,1, Plan and Budget Organization,5705000000.0,1.0
120,1385,2, Ekhtiyariyeh,1300000000.0,1.0
130,1402,3, Sohravardi,1400000000.0,4.0
115,1401,2, Heravi,1375000000.0,30.0
115,1396,3, Poonak,123000000.0,4.0
143,1402,3, Shahrak-e Gharb,2700000000.0,2.0
101,1383,2, Saadat Abad,1290000000.0,1.0
115,1382,2, Shahrak-e Gharb,1650000000.0,2.0
50,1386,1, Kooy-e Ferdows,540000000.0,0.0
110,1388,2, Kamraniyeh,1850000000.0,4.0
140,1401,3, Martyrs of Persian Gulf Lake,392000000.0,14.0
72,1400,2, Andisheh (Shahr-e Ziba),280000000.0,4.0
115,1385,2, Ekhtiyariyeh,1350000000.0,5.0
66,1385,2, Kooy-e Ferdows,790000000.0,5.0
312,1398,4, Farmaniyeh,94000000000.0,3.0
165,1395,3, Marzdaran,26600000000.0,4.0
112,1402,2, Sarv Azad,10000000000.0,0.0
124,1397,3, Martyrs of Persian Gulf Lake,1170000000.0,5.0
110,1401,2, Sarv Azad,11000000000.0,0.0
170,1401,3, Niyavaran,38000000000.0,2.0
132,1391,3, Hovaniruz,12000000000.0,0.0
58,1394,1, Kerman,499999999.0,0.0
131,1401,2, Pasdaran,15800000000.0,10.0
48,1385,1, Kooy-e Ferdows,4550000000.0,4.0
98,1398,3, Mobarakeh-ye Bahshti,2945000000.0,5.0
102,1401,2, Ekhtiyariyeh,204000000000.0,4.0
74,1388,2, Jannat Abad-e Jonubi,668000000.0,2.0
66,1382,2, Iran,5800000000.0,0.0
118,1380,2, Jardan,16000000000.0,3.0
85,1370,2, Shemshiri,450000000.0,0.0
66,1399,2, Shahrak-e Takhti,22410000000.0,3.0
150,1402,3, Marzdaran,17600000000.0,0.0
120,1370,3, Shahr-e Ziba,7700000000.0,0.0
106,1381,2, Sadeghiyeh,9222000000.0,0.0
52,1401,1, Hashemabad,1716000000.0,3.0
93,1402,2, Jannat Abad-e Jonubi,13480000000.0,3.0
72,1387,2, Zahire Abad,4320000000.0,0.0
160,1395,3, Heravi,20710000000.0,1.0
60,1385,1, Ahang,30000000000.0,0.0
